"id","exam_date","grade","course_id","student_id"
"1","2022-07-11","A+","CS111","1001"
"2","2022-07-11","A","CS121","1001"
"3","2022-07-11","A+","CS122","1001"
"4","2022-12-05","B+","CS211","1001"
"5","2022-12-06","B","CS212","1001"
"6","2022-12-07","B+","MA111","1001"
"7","2023-07-11","A+","CS411","1001"
"8","2023-07-11","A+","CS511","1001"
"9","2023-07-11","F","MA211","1001"
"10","2023-12-05","NULL","CS121","1001"
"11","2023-12-06","NULL","CS122","1001"
"12","2023-12-14","NULL","MA411","1001"
"21","2022-07-11","A","CS121","1003"
"22","2022-07-11","A+","CS122","1003"
"23","2022-01-11","A+","CS123","1003"
"24","2022-12-19","A","CS221","1003"
"25","2022-12-20","B","CS132","1003"
"26","2022-12-18","A","CS131","1003"
"27","2023-07-19","B","CS421","1003"
"28","2023-07-21","C","CS422","1003"
"29","2023-07-22","F","MA111","1003"
"30","2023-12-19","NULL","CS132","1003"
"31","2023-12-16","NULL","CS231","1003"
"32","2023-12-17","NULL","MA211","1003"
"41","2022-07-19","A+","CS131","1007"
"42","2022-07-21","A+","CS132","1007"
"43","2022-07-22","A","CS121","1007"
"44","2022-12-21","A+","CS221","1007"
"45","2022-12-20","A+","CS232","1007"
"46","2022-12-19","A","CS231","1007"
"47","2023-07-19","F","CS531","1007"
"48","2023-07-18","A","CS532","1007"
"49","2023-07-21","B+","CS141","1007"
"50","2023-12-15","NULL","CS142","1007"
"51","2023-12-16","NULL","CS242","1007"
"52","2023-12-17","NULL","EC121","1007"
"61","2022-07-19","A+","CS141","1010"
"62","2022-01-21","A","CS142","1010"
"63","2022-01-20","B+","CS131","1010"
"64","2022-12-17","A+","CS241","1010"
"65","2022-12-16","A","CS242","1010"
"66","2022-12-19","B+","EC111","1010"
"67","2023-07-18","B+","CS441","1010"
"68","2023-07-19","B","CS442","1010"
"69","2023-07-20","F","MA111","1010"
"70","2023-12-19","NULL","CS443","1010"
"71","2023-12-18","NULL","CS231","1010"
"72","2023-12-20","NULL","MA211","1010"
"2001","2022-07-19","A","EC111","1607"
"2002","2022-07-21","A+","EC131","1607"
"2003","2022-07-20","A","EC151","1607"
"2004","2022-12-15","B","EC211","1607"
"2005","2022-12-16","B+","EC221","1607"
"2006","2022-12-17","B+","CS111","1607"
"2007","2023-07-19","A+","EC411","1607"
"2008","2023-07-20","A+","CS112","1607"
"2009","2023-07-22","F","CS113","1607"
"2010","2023-12-05","NULL","EC121","1607"
"2011","2023-12-06","NULL","EC141","1607"
"2012","2023-12-14","NULL","CS211","1607"
"2051","2022-07-21","A","EC121","1610"
"2052","2022-07-19","A+","EC141","1610"
"2053","2022-07-22","A+","CS111","1610"
"2054","2022-12-15","B+","EC221","1610"
"2055","2022-12-16","B+","EC231","1610"
"2056","2022-12-17","B+","MA111","1610"
"2057","2023-07-11","A","EC411","1610"
"2058","2023-07-11","F","CS112","1610"
"2059","2023-07-11","B+","CS113","1610"
"2060","2023-12-15","NULL","EC421","1610"
"2061","2023-12-16","NULL","EC431","1610"
"2062","2023-12-19","NULL","CS211","1610"
"3001","2022-07-20","A+","ME111","2008"
"3002","2022-07-19","B+","ME131","2008"
"3003","2022-07-22","B","ME141","2008"
"3004","2022-12-20","A","ME211","2008"
"3005","2022-12-19","A+","CS142","2008"
"3006","2022-12-22","A+","CS141","2008"
"3011","2023-07-20","F","ME411","2008"
"3012","2023-07-19","B+","CS241","2008"
"3013","2023-07-22","B","CS242","2008"
"3014","2023-12-21","NULL","ME211","2008"
"3015","2023-12-23","NULL","ME431","2008"
"3016","2023-12-22","NULL","CS111","2008"
"3051","2022-07-20","A+","ME121","2009"
"3052","2022-07-19","B+","ME151","2009"
"3053","2022-07-22","B","ME161","2009"
"3054","2022-12-20","A","ME221","2009"
"3055","2022-12-19","A+","CS142","2009"
"3056","2022-12-22","A+","CS141","2009"
"3062","2023-07-19","F","CS241","2009"
"3063","2023-07-22","B","CS242","2009"
"3064","2023-12-21","NULL","ME421","2009"
"3065","2023-12-23","NULL","ME431","2009"
"3066","2023-12-22","NULL","ME131","2009"
"4001","2022-07-21","A+","CE111","1103"
"4002","2022-07-22","A","CE121","1103"
"4003","2022-07-20","A","CE161","1103"
"4004","2022-12-21","A+","CE221","1103"
"4005","2022-12-18","A","CE511","1103"
"4006","2022-12-19","A","CS111","1103"
"4011","2023-07-21","B","CE421","1103"
"4012","2023-07-22","B","CE511","1103"
"4013","2023-07-20","F","CE161","1103"
"4014","2023-12-21","NULL","MA131","1103"
"4015","2023-12-18","NULL","MA111","1103"
"4016","2023-12-19","NULL","MA142","1103"
"4051","2022-07-21","A+","CE131","1107"
"4052","2022-07-22","A","CE141","1107"
"4053","2022-07-20","A","CE151","1107"
"4054","2022-12-21","A+","CE231","1107"
"4055","2022-12-18","A","CE241","1107"
"4056","2022-12-19","A","CS111","1107"
"4061","2023-07-21","B","CE431","1107"
"4062","2023-07-22","B","CE441","1107"
"4063","2023-07-20","F","CE161","1107"
"4064","2023-12-21","NULL","MA131","1107"
"4065","2023-12-18","NULL","MA111","1107"
"4066","2023-12-19","NULL","MA142","1107"
"5001","2022-07-21","A+","MA111","1710"
"5002","2022-07-19","A","MA131","1710"
"5003","2022-07-22","B+","MA142","1710"
"5004","2022-12-21","B+","MA211","1710"
"5005","2022-12-19","A","MA231","1710"
"5006","2022-12-22","A","CS111","1710"
"5011","2023-07-21","A+","MA411","1710"
"5012","2023-07-19","A","MA431","1710"
"5013","2023-07-22","F","CS211","1710"
"5014","2023-12-21","NULL","MA211","1710"
"5015","2023-12-19","NULL","MA231","1710"
"5016","2023-12-22","NULL","CS111","1710"
"5101","2022-07-21","A+","MA121","1707"
"5102","2022-07-19","A","MA122","1707"
"5103","2022-07-22","B+","MA141","1707"
"5104","2022-12-21","B+","MA221","1707"
"5105","2022-12-19","A","MA241","1707"
"5106","2022-12-22","A","CS111","1707"
"5111","2023-07-21","A+","MA421","1707"
"5112","2023-07-19","A","MA441","1707"
"5113","2023-07-22","F","MA142","1707"
"5114","2023-12-21","NULL","CS211","1707"
"5115","2023-12-19","NULL","CS113","1707"
"5116","2023-12-22","NULL","CS211","1707"
