"id","course_id","prerequisite_id"
"2","CS411","CS211"
"3","CS511","CS211"
"4","CS211","CS111"
"5","CS211","CS112"
"6","CS213","CS113"
"7","CS413","CS213"
"21","CS221","CS121"
"22","CS221","CS123"
"23","CS421","CS121"
"24","CS422","CS122"
"103","CS231","CS131"
"104","CS232","CS131"
"105","CS232","CS132"
"106","CS235","CS131"
"108","CS531","CS231"
"110","CS532","CS232"
"111","CS535","CS235"
"203","CS241","CS141"
"204","CS242","CS141"
"205","CS242","CS142"
"207","CS441","CS241"
"208","CS442","CS242"
"209","CS443","CS241"
"2051","EC211","EC111"
"2052","EC221","EC121"
"2053","EC231","EC131"
"2102","EC411","EC211"
"2104","EC421","EC221"
"2106","EC431","EC231"
"3051","ME211","ME111"
"3052","ME221","ME121"
"3102","ME411","ME211"
"3104","ME421","ME221"
"3105","ME431","ME131"
"3106","ME431","ME151"
"4051","CE221","CE121"
"4052","CE231","CE131"
"4053","CE241","CE141"
"4101","CE511","CE111"
"4102","CE421","CE221"
"4104","CE431","CE231"
"4106","CE441","CE241"
"5051","MA211","MA111"
"5052","MA221","MA121"
"5053","MA231","MA131"
"5054","MA241","MA141"
"5102","MA411","MA211"
"5103","MA421","MA221"
"5105","MA431","MA231"
"5107","MA441","MA241"
