"id","role","semester","year","course_id","faculty_id"
"1","Instructor","SPRING","2022","CS111","111"
"2","TA","SPRING","2022","CS111","300"
"3","Instructor","SPRING","2022","CS112","121"
"4","TA","SPRING","2022","CS112","301"
"5","Instructor","SPRING","2022","CS113","221"
"6","TA","SPRING","2022","CS113","302"
"7","Instructor","SPRING","2022","CS121","131"
"8","TA","SPRING","2022","CS121","303"
"9","Instructor","SPRING","2022","CS122","225"
"10","TA","SPRING","2022","CS122","304"
"11","Instructor","SPRING","2022","CS123","227"
"12","TA","SPRING","2022","CS123","305"
"13","Instructor","SPRING","2022","CS131","229"
"14","TA","SPRING","2022","CS131","305"
"15","Instructor","SPRING","2022","CS132","230"
"16","TA","SPRING","2022","CS132","304"
"17","Instructor","SPRING","2022","CS141","111"
"18","TA","SPRING","2022","CS141","303"
"19","Instructor","SPRING","2022","CS142","121"
"20","TA","SPRING","2022","CS142","301"
"23","Instructor","SPRING","2022","CS211","131"
"24","TA","SPRING","2022","CS211","300"
"25","Instructor","SPRING","2022","CS212","225"
"26","TA","SPRING","2022","CS212","301"
"27","Instructor","SPRING","2022","CS213","227"
"28","TA","SPRING","2022","CS213","302"
"29","Instructor","SPRING","2022","CS221","229"
"30","TA","SPRING","2022","CS221","303"
"31","Instructor","SPRING","2022","CS222","230"
"32","TA","SPRING","2022","CS222","304"
"33","Instructor","SPRING","2022","CS231","229"
"34","TA","SPRING","2022","CS231","305"
"35","Instructor","SPRING","2022","CS235","230"
"36","TA","SPRING","2022","CS235","301"
"37","Instructor","SPRING","2022","CS241","131"
"38","TA","SPRING","2022","CS241","302"
"39","Instructor","SPRING","2022","CS242","111"
"40","TA","SPRING","2022","CS242","303"
"41","Instructor","SPRING","2022","CS411","121"
"42","TA","SPRING","2022","CS411","304"
"43","Instructor","SPRING","2022","CS413","221"
"44","TA","SPRING","2022","CS413","305"
"45","Instructor","SPRING","2022","CS421","225"
"46","TA","SPRING","2022","CS421","305"
"47","Instructor","SPRING","2022","CS422","227"
"48","TA","SPRING","2022","CS422","304"
"49","Instructor","SPRING","2022","CS441","228"
"50","Instructor","SPRING","2022","CS443","221"
"51","TA","SPRING","2022","CS443","302"
"52","Instructor","SPRING","2022","CS511","121"
"53","TA","SPRING","2022","CS511","301"
"54","Instructor","SPRING","2022","CS531","230"
"55","TA","SPRING","2022","CS531","301"
"56","Instructor","SPRING","2022","CS532","229"
"57","TA","SPRING","2022","CS532","302"
"60","TA","SPRING","2022","CS441","303"
"101","Instructor","FALL","2022","CS111","111"
"102","TA","FALL","2022","CS111","300"
"103","Instructor","FALL","2022","CS112","121"
"104","TA","FALL","2022","CS112","301"
"105","Instructor","FALL","2022","CS113","221"
"106","TA","FALL","2022","CS113","302"
"107","Instructor","FALL","2022","CS121","131"
"108","TA","FALL","2022","CS121","303"
"109","Instructor","FALL","2022","CS122","225"
"110","TA","FALL","2022","CS122","304"
"111","Instructor","FALL","2022","CS123","227"
"112","TA","FALL","2022","CS123","305"
"113","Instructor","FALL","2022","CS131","230"
"114","TA","FALL","2022","CS131","305"
"115","Instructor","FALL","2022","CS132","229"
"116","TA","FALL","2022","CS132","304"
"117","Instructor","FALL","2022","CS141","121"
"118","TA","FALL","2022","CS141","303"
"119","Instructor","FALL","2022","CS142","111"
"120","TA","FALL","2022","CS142","301"
"121","Instructor","FALL","2022","CS421","225"
"122","TA","FALL","2022","CS421","305"
"123","Instructor","FALL","2022","CS211","131"
"124","TA","FALL","2022","CS211","300"
"125","Instructor","FALL","2022","CS212","225"
"126","TA","FALL","2022","CS212","301"
"127","Instructor","FALL","2022","CS213","227"
"128","TA","FALL","2022","CS213","302"
"129","Instructor","FALL","2022","CS221","221"
"130","TA","FALL","2022","CS221","303"
"131","Instructor","FALL","2022","CS222","230"
"132","TA","FALL","2022","CS222","304"
"133","Instructor","FALL","2022","CS231","229"
"134","TA","FALL","2022","CS231","305"
"135","Instructor","FALL","2022","CS235","230"
"136","TA","FALL","2022","CS235","301"
"137","Instructor","FALL","2022","CS241","131"
"138","TA","FALL","2022","CS241","302"
"139","Instructor","FALL","2022","CS242","111"
"140","TA","FALL","2022","CS242","303"
"141","Instructor","FALL","2022","CS411","121"
"142","TA","FALL","2022","CS411","304"
"143","Instructor","FALL","2022","CS413","221"
"144","TA","FALL","2022","CS413","301"
"146","Instructor","FALL","2022","CS422","227"
"147","TA","FALL","2022","CS422","302"
"148","Instructor","FALL","2022","CS441","228"
"149","TA","FALL","2022","CS441","303"
"150","Instructor","FALL","2022","CS443","221"
"151","TA","FALL","2022","CS443","304"
"152","Instructor","FALL","2022","CS511","121"
"153","TA","FALL","2022","CS511","305"
"154","Instructor","FALL","2022","CS531","230"
"155","TA","FALL","2022","CS531","302"
"156","Instructor","FALL","2022","CS532","229"
"157","TA","FALL","2022","CS532","300"
"201","Instructor","SPRING","2023","CS111","121"
"202","TA","SPRING","2023","CS111","300"
"203","Instructor","SPRING","2023","CS112","111"
"204","TA","SPRING","2023","CS112","301"
"205","Instructor","SPRING","2023","CS113","225"
"206","TA","SPRING","2023","CS113","302"
"207","Instructor","SPRING","2023","CS121","131"
"208","TA","SPRING","2023","CS121","303"
"209","Instructor","SPRING","2023","CS122","221"
"210","TA","SPRING","2023","CS122","304"
"211","Instructor","SPRING","2023","CS123","227"
"212","TA","SPRING","2023","CS123","305"
"213","Instructor","SPRING","2023","CS131","229"
"214","TA","SPRING","2023","CS131","305"
"215","Instructor","SPRING","2023","CS132","230"
"216","TA","SPRING","2023","CS132","304"
"217","Instructor","SPRING","2023","CS141","111"
"218","TA","SPRING","2023","CS141","303"
"219","Instructor","SPRING","2023","CS142","121"
"220","TA","SPRING","2023","CS142","301"
"221","TA","SPRING","2023","CS231","305"
"223","Instructor","SPRING","2023","CS211","131"
"224","TA","SPRING","2023","CS211","300"
"225","Instructor","SPRING","2023","CS212","225"
"226","TA","SPRING","2023","CS212","301"
"227","Instructor","SPRING","2023","CS213","227"
"228","TA","SPRING","2023","CS213","302"
"229","Instructor","SPRING","2023","CS221","229"
"230","TA","SPRING","2023","CS221","303"
"231","Instructor","SPRING","2023","CS222","230"
"232","TA","SPRING","2023","CS222","304"
"233","Instructor","SPRING","2023","CS231","229"
"234","Instructor","SPRING","2023","CS235","230"
"235","TA","SPRING","2023","CS235","301"
"236","Instructor","SPRING","2023","CS241","131"
"237","TA","SPRING","2023","CS241","302"
"238","Instructor","SPRING","2023","CS242","111"
"239","TA","SPRING","2023","CS242","303"
"240","Instructor","SPRING","2023","CS411","121"
"241","TA","SPRING","2023","CS411","304"
"242","Instructor","SPRING","2023","CS413","221"
"243","TA","SPRING","2023","CS413","305"
"244","Instructor","SPRING","2023","CS421","225"
"245","TA","SPRING","2023","CS421","305"
"246","Instructor","SPRING","2023","CS422","227"
"247","TA","SPRING","2023","CS422","304"
"248","Instructor","SPRING","2023","CS441","228"
"249","TA","SPRING","2023","CS441","301"
"250","Instructor","SPRING","2023","CS443","221"
"251","TA","SPRING","2023","CS443","302"
"252","Instructor","SPRING","2023","CS511","121"
"253","TA","SPRING","2023","CS511","303"
"254","Instructor","SPRING","2023","CS531","230"
"255","TA","SPRING","2023","CS531","304"
"256","Instructor","SPRING","2023","CS532","229"
